rating_reviewcount,center1distance,center1label,center2distance,center2label,neighbourhood,price,starrating,accommodationtype,guestreviewsrating,hotel_id
36.0,2.7,City centre,4.4,Donauturm,17. Hernals,81,4.0,Apartment,4.4,21894
189.0,1.7,City centre,3.8,Donauturm,17. Hernals,81,4.0,Hotel,3.9,21897
53.0,1.4,City centre,2.5,Donauturm,Alsergrund,85,4.0,Hotel,3.7,21901
55.0,1.7,City centre,2.5,Donauturm,Alsergrund,83,3.0,Hotel,4,21902
33.0,1.2,City centre,2.8,Donauturm,Alsergrund,82,4.0,Hotel,3.9,21903
25.0,0.9,City centre,3.0,Donauturm,Alsergrund,229,5.0,Apartment,4.8,21904
57.0,0.9,City centre,2.4,Donauturm,Alsergrund,103,4.0,Hotel,3.9,21906
161.0,1.0,City centre,2.7,Donauturm,Alsergrund,150,4.0,Hotel,4.6,21907
50.0,0.7,City centre,2.7,Donauturm,Alsergrund,80,2.0,Hotel,3.5,21908
,1.5,City centre,2.7,Donauturm,Alsergrund,153,3.0,Apartment,nan,21910
203.0,1.1,City centre,2.7,Donauturm,Alsergrund,60,4.0,Hotel,4.1,21912
251.0,0.8,City centre,2.9,Donauturm,Alsergrund,128,4.0,Hotel,4,21913
142.0,1.0,City centre,2.3,Donauturm,Alsergrund,100,4.0,Apartment,4.5,21914
8.0,1.2,City centre,2.3,Donauturm,Alsergrund,143,2.0,Apartment,3.7,21915
,0.7,City centre,2.6,Donauturm,Alsergrund,106,2.5,Hotel,nan,21916
18.0,1.7,City centre,2.6,Donauturm,Alsergrund,85,4.0,Hotel,4.1,21917
20.0,0.9,City centre,2.8,Donauturm,Alsergrund,77,3.0,Hotel,3.7,21918
77.0,0.8,City centre,2.8,Donauturm,Alsergrund,78,3.0,Hotel,3.9,21919
76.0,0.9,City centre,2.8,Donauturm,Alsergrund,78,3.0,Hotel,4,21920
,3.4,City centre,0.6,Donauturm,Donaustadt,260,3.5,Apartment,nan,21921
5.0,3.4,City centre,0.6,Donauturm,Donaustadt,158,3.0,Apartment,4.8,21922
77.0,4.2,City centre,1.5,Donauturm,Donaustadt,77,3.0,Hotel,3.9,21924
